THƯ MỤC,TÊN PHIM,Số tập,Thể loại,Ghi chú,,Cách Đăng ký xem phim,
,,2537,,,(có thêm),,
SHARELINK,https://drive.google.com/drive/folders/0B60XeNl1kzp6MUYzVkF1SnFRRlU?resourcekey=0-OtApQYgQgWzHKobmHab8OQ&usp=sharing,,,,,CTRL + F để tìm phim nhanh,
PHIM 1,Aquaman : Đế Vương Atlantis 2018,1,"Hành động, Viễn tưởng",,4K Bluray,,
https://drive google com/drive/folders/0B60XeNl1kzp6VmJEMFJ3eVZDMEE?usp=sharing,Avatar - Thế Thân 2009,1,"Hành động, Viễn tưởng",,4K Bluray,,
203,Batman v Superman 2016,1,"Hành động, Viễn tưởng",,4K Bluray,Drive Test,
,Biệt đội đánh thuê - The Expendables 2010 2012 2014,3,"Hành động, Phiêu lưu",,,http://captaintomy.sytes.net,
,Biệt đội mãng xà - G.I.Joe 2009 2013,2,"Hành động, Viễn tưởng",,,ID,khachtest
,Biệt đội siêu anh hùng - The Avengers 2012 2015 2018 2019,4,"Hành động, Viễn tưởng",,4K Bluray,pass,123456789
,Black panther - Chiến binh báo đen 2018,1,"Hành động, Viễn tưởng",,4K Bluray,Xin liên hệ page để được cung cấp TK,
,Bleach - Sứ giả thần chết 2018,1,Anime liveaction,,,https://www.facebook.com/KhoPhimBluray2,
PHIM 1,Bloodshot 2020,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Bumblebee - Bumblebee 2018,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Captain America 2011 2014 2016,3,"Hành động, Viễn tưởng",,4K Bluray,,
,Captain Malvel 2019,1,"Hành động, Viễn tưởng",,4K Bluray,,
,Chúa tể của những chiếc nhẫn - The Lord of the Rings 2001 2002 2003,3,"Hành động, Thần thoại",,,,
PHIM 1,Chủng Tộc Bất Tử - Eternals 2021,1,"Hành động, Viễn tưởng",,,,
,Chuyến đi bất ngờ - The Layover 2017,1,"Hài hước, Tình cảm",,,,
,Chuyến tàu tốc hành đến Bắc cực 2004,1,"Hài hước, Phiêu lưu",,,,
,Cuộc chiến giữa các vị thần - Clash / Wrath of the Titans 2010 2012,2,"Hành động, Thần thoại",,,,
,C­ướp biển vùng Caribe - Pirates of the Caribbean 2003 2006 2007 2011 2017,5,"Hành động, Phiêu lưu",,,,
PHIM 1,DeadPool xmen 2016 2018,2,"Hành động, Viễn tưởng",,,,
,Down a Dark Hall - Hành lang bí ẩn 2018,1,"Hành động, Viễn tưởng",,,,
,Giả kim thuật sư - Fullmetal Alchemist 2017,1,Anime live action,,,,
,Giải cứu Guy - Free Guy 2021,1,,,,,
,Gặp gỡ đội quân tử thần - Meet The Spartans 2008,1,Hài hước,,,,
,GI Joe: Xà Nhãn Báo Thù - Snake Eyes 2021,1,,,,,
,Gia đình đạo tặc - Family heist 2017,1,Hài hước,,,,
PHIM 1,Gia đình siêu nhân - The Incredibles 2004 2018,2,"Hài hước, Hành động",,,,
,Giáo sỹ - Priest 2011,1,"Hành động, Viễn tưởng",,,,
,Góa Phụ Đen - Black Widow 2021,1,,,,,
